"id","en","es","zh","ko","ja","de","fr","hmn","it","ru","fil","pt-br","vi","lo","th","km","nl","hi"
"1","BUTT HURT REPORT","REPORTE DE NALGAS ADOLORIDAS","屁股委屈申诉书","궁디삐짐 신고서","お尻メソメソ報告書","PO-WEHE-MELDUNG","RAPPORT FESSES VEXÉES","MOB POB TW LIVPHOJ","MODULO LAMENTI","РАПОРТ НОЮНА","ULAT BUTTHURT","RELATO BUNDINHA","ĐƠN MÉO MÔNG","ບັນທຶກກົ້ນເຈັບ","รายงานก้นน้อยใจ","របាយការណ៍គូទឈឺ","BILPIJN RAPPORT","पिछवाड़ा पीड़ा रिपोर्ट"
"2","DATA REQUIRED BY THE PRIVACY ACT OF 1974","DATOS REQUERIDOS POR LA LEY DE PRIVACIDAD DE 1974","1974年隐私法要求的数据","1974 프라이버시법이 또 달라는 자료","1974年プライバシー法がうるさい資料","DATEN, DIE DAS PRIVATGESETZ '74 WIEDER WILL","DONNÉES QUE LA LOI PRIVÉE 1974 RÂLE POUR AVOIR","COV NTAUB NTAWV UAS TXOJ CAI 1974 YWS HAIS KOM MUAB","DATI RICHIESTI DALLA PRIVACY 1974","ДАННЫЕ ПО ЗАКОНУ О ПРИВ.1974","DATOS NG PRIVACY ACT '74","DADOS LEI DE PRIVACIDADE 1974","DỮ LIỆU LUẬT RIÊNG TƯ 1974 ĐÒI","ຂໍ້ມູນຕາມກົດຄວາມສ່ວນຕົວ ປີ ໑໙໗໔","ข้อมูลตามพระราชบัญญัติความลับ ปี ๑๙๗๔","ទិន្នន័យតាមច្បាប់ឯកជនភាព ១៩៧៤","GEGEVENS VEREIST DOOR DE PRIVACYWET VAN 1974","गोपनीयता अधिनियम 1974 द्वारा माँगे गए आँकड़े"
"3","PRINCIPAL PURPOSE:","PROPÓSITO PRINCIPAL:","主要目的：","주요 꿍꿍이:","主な魂胆:","HAUPTDRAMA:","DRAME PRINCIPAL :","LUB HOM PHIAJ TSEEM CEEB:","SCOPO PRINCIPALE:","ГЛАВНАЯ ЦЕЛЬ:","PANGUNAHING SADYA:","PROPÓSITO-MAIOR:","MỤC CHÍNH:","ເປົ້າໝາຍຫຼັກ","เป้าหมายหลัก","គោលបំណងសំខាន់:","HOOFDDOEL:","मुख्य मकसद:"
"4","To assist whiners in documenting hurt feelings.","Ayudar a los quejosos a documentar sentimientos heridos.","帮助抱怨者记录玻璃心受伤。","찡찡이들의 상처 인증을 돕습니다.","泣き虫のメンタル証拠作りを支援します。","Hilft Heulsusen beim Leid-Tagebuch.","Aide pleurnichards à journaliser leur bobo.","Pab cov neeg mob pob tw quaj taug qhia lawv txoj kev ntsim siab.","Per aiutare i piagnoni a segnare i torti.","Помогаем нытикам записать обиды.","Tulungan ang reklamador magtala ng tampo.","Ajudar chorões a registrar dodói emocional.","Giúp cừu non ghi chép nỗi tủi thân.","ຊ່ວຍ ຄົນ ບ່ອນ ຈົດ ຄວາມ ເຈັບ ໃຈ","ช่วยขี้บ่นบันทึกแผลใจ","ជួយមនុស្សផ្អើលកត់ត្រាឈឺចាប់ចិត្ត.","Helpt zeurpieten hun gekrenkte gevoelens vastleggen.","रोनेवालों को अपनी दुखी भावनाएँ दर्ज करने में मदद करें."
"5","ROUTINE USES:","USOS DE RUTINA:","常规用途：","평소 용도:","日常の使い道:","STANDARDJAMMER:","USAGES ROUTINE :","KEV SIV NTAWM TXHUA HNUB:","USI SOLITI:","СТАНДАРТНО:","GAMIT PALAGI:","USOS ROTINA:","DÙNG THƯỜNG:","ໃຊ້ປະຈໍາ","ใช้ประจำ","ប្រើញឹកញាប់:","NORMAAL GEBRUIK:","रोज़मर्रा के उपयोग:"
"6","Leaders & whiners should use this form as necessary.","Líderes y quejosos deben usar este formulario según sea necesario.","领导和爱抱怨者按需使用本表。","대장과 찡찡이 모두 필요하면 쓰세요.","上司も泣き虫も必要時にご利用を。","Chefs & Jammer nutzen dieses Blatt, wenn das Drama ruft.","Chefs et chouineurs sortent ce formulaire quand le drame sonne.","Cov thawj coj & cov neeg quaj taug siv thaum xav nthuav drama.","Capi e piagnoni usino il modulo quando serve.","Начальникам и нытикам использовать по надоб.","Gamitin ito ng boss at reklamador kapag kailangan.","Chefes e chorões usam o formulário se precisar.","Sếp và mè nheo xài đơn này khi cần.","ຫົວໜ້າ ແລະ ຄົນ ບ່ອນ ໃຊ້ ແບບ ຟອມ ເມື່ອ ຈໍາ ເປັນ","หัวหน้ากับสายครางใช้แบบฟอร์มเมื่อจำเป็น","មេៗនិងអ្នកផ្អើលប្រើសំបុត្រនេះពេលចាំបាច់.","Leiders en klagers gebruiken dit formulier wanneer nodig.","नेता और रूठे दिल वाले इसे जब भी ज़रूरत हो भरें."
"7","PART I - ADMINISTRATIVE DATA","PARTE I - DATOS ADMINISTRATIVOS","第一部分 - 行政资料","1부 - 행정 잡다구리","第1部 - 事務ゴチャゴチャ","TEIL I - BÜROKRATIEZAHLEN","PARTIE I - DONNÉES PAPIERASSE","NTU I - KEV TSIM NTAUB NTAWV","PARTE I - DATI BUROCRATICI","ЧАСТЬ I - ДАННЫЕ","BAHAGI I - DATA NG PAPEL","PARTE I - DADOS ADM","PHẦN I - DỮ LIỆU HÀNH","ພາກທີ ໑ ຂໍ້ມູນບໍລິຫານ","ภาคที่ ๑ ข้อมูลธุรการ","ផ្នែកទី ១ - ទិន្នន័យរដ្ឋការ","DEEL I - ADMINISTRATIEVE GEGEVENS","भाग १ - प्रशासनिक जानकारी"
"8","A. WHINER'S NAME","A. NOMBRE DEL QUEJOSO","A. 抱怨者姓名","A. 찡찡이 이름","A. 泣き虫氏名","A. NAME DER HEULSUSE","A. NOM DU PLEURNICHEUR","A. NPE TUS NEEG XAM TXEEM","A. NOME PIAGNONE","A. ИМЯ НОЮНА","A. NGALAN REKLA","A. NOME CHORÃO","A. TÊN MÈ NHEO","ຊ່ອງ ກ ຊື່ຄົນບ່ອນ","ช่อง ก ชื่อสายคราง","ក. ឈ្មោះអ្នកផ្អើល","A. NAAM VAN DE KLAGER","क. शिकायतकर्ता का नाम"
"9","B. SOCIAL SECURITY NUMBER","B. NÚMERO DE SEGURO SOCIAL","B. 社会安全号码","B. 주민번호 비스무리","B. なんちゃってマイナンバー","B. SOZIALNUMMERCHEN","B. NUMÉRO SOSUCRÉ","B. TUS ZAUV XAUS XAUS","B. N. PREVIDENZA","B. НОМЕР ДОКУМ.","B. NUMERO NG SSS","B. NÚMERO CPF","B. SỐ AN SINH","ຊ່ອງ ຂ ເລກປະກັນສັງຄົມ","ช่อง ข เลขประกันสังคม","ខ. លេខសន្តិសុខសង្គម","B. BURGERSERVICENUMMER","ख. सामाजिक सुरक्षा संख्या"
"10","C. DATE OF REPORT","C. FECHA DEL INFORME","C. 报告日期","C. 신고 날짜","C. 申告日","C. DATUM DES JAMMERS","C. DATE DU MÉLODRAME","C. XYOO HLI HNUB SAU","C. DATA RAPPORTO","C. ДАТА ОТЧЕТА","C. PETSA NG ULAT","C. DATA DO RELATO","C. NGÀY BÁO CÁO","ຊ່ອງ ຄ ວັນທີລາຍງານ","ช่อง ค วันที่รายงาน","គ. ថ្ងៃរាយការណ៍","C. DATUM VAN RAPPORT","ग. रिपोर्ट की तारीख"
